OBJECTID_1,NEIGHBOURHOOD_NAME,HOOD_158,ASSAULT_2014,ASSAULT_2015,ASSAULT_2016,ASSAULT_2017,ASSAULT_2018,ASSAULT_2019,ASSAULT_2020,ASSAULT_2021,ASSAULT_2022,ASSAULT_2023,ASSAULT_2024,ASSAULT_2025,ASSAULT_RATE_2014,ASSAULT_RATE_2015,ASSAULT_RATE_2016,ASSAULT_RATE_2017,ASSAULT_RATE_2018,ASSAULT_RATE_2019,ASSAULT_RATE_2020,ASSAULT_RATE_2021,ASSAULT_RATE_2022,ASSAULT_RATE_2023,ASSAULT_RATE_2024,ASSAULT_RATE_2025,AUTOTHEFT_2014,AUTOTHEFT_2015,AUTOTHEFT_2016,AUTOTHEFT_2017,AUTOTHEFT_2018,AUTOTHEFT_2019,AUTOTHEFT_2020,AUTOTHEFT_2021,AUTOTHEFT_2022,AUTOTHEFT_2023,AUTOTHEFT_2024,AUTOTHEFT_2025,AUTOTHEFT_RATE_2014,AUTOTHEFT_RATE_2015,AUTOTHEFT_RATE_2016,AUTOTHEFT_RATE_2017,AUTOTHEFT_RATE_2018,AUTOTHEFT_RATE_2019,AUTOTHEFT_RATE_2020,AUTOTHEFT_RATE_2021,AUTOTHEFT_RATE_2022,AUTOTHEFT_RATE_2023,AUTOTHEFT_RATE_2024,AUTOTHEFT_RATE_2025,BIKETHEFT_2014,BIKETHEFT_2015,BIKETHEFT_2016,BIKETHEFT_2017,BIKETHEFT_2018,BIKETHEFT_2019,BIKETHEFT_2020,BIKETHEFT_2021,BIKETHEFT_2022,BIKETHEFT_2023,BIKETHEFT_2024,BIKETHEFT_2025,BIKETHEFT_RATE_2014,BIKETHEFT_RATE_2015,BIKETHEFT_RATE_2016,BIKETHEFT_RATE_2017,BIKETHEFT_RATE_2018,BIKETHEFT_RATE_2019,BIKETHEFT_RATE_2020,BIKETHEFT_RATE_2021,BIKETHEFT_RATE_2022,BIKETHEFT_RATE_2023,BIKETHEFT_RATE_2024,BIKETHEFT_RATE_2025,BREAKENTER_2014,BREAKENTER_2015,BREAKENTER_2016,BREAKENTER_2017,BREAKENTER_2018,BREAKENTER_2019,BREAKENTER_2020,BREAKENTER_2021,BREAKENTER_2022,BREAKENTER_2023,BREAKENTER_2024,BREAKENTER_2025,BREAKENTER_RATE_2014,BREAKENTER_RATE_2015,BREAKENTER_RATE_2016,BREAKENTER_RATE_2017,BREAKENTER_RATE_2018,BREAKENTER_RATE_2019,BREAKENTER_RATE_2020,BREAKENTER_RATE_2021,BREAKENTER_RATE_2022,BREAKENTER_RATE_2023,BREAKENTER_RATE_2024,BREAKENTER_RATE_2025,HOMICIDE_2014,HOMICIDE_2015,HOMICIDE_2016,HOMICIDE_2017,HOMICIDE_2018,HOMICIDE_2019,HOMICIDE_2020,HOMICIDE_2021,HOMICIDE_2022,HOMICIDE_2023,HOMICIDE_2024,HOMICIDE_2025,HOMICIDE_RATE_2014,HOMICIDE_RATE_2015,HOMICIDE_RATE_2016,HOMICIDE_RATE_2017,HOMICIDE_RATE_2018,HOMICIDE_RATE_2019,HOMICIDE_RATE_2020,HOMICIDE_RATE_2021,HOMICIDE_RATE_2022,HOMICIDE_RATE_2023,HOMICIDE_RATE_2024,HOMICIDE_RATE_2025,ROBBERY_2014,ROBBERY_2015,ROBBERY_2016,ROBBERY_2017,ROBBERY_2018,ROBBERY_2019,ROBBERY_2020,ROBBERY_2021,ROBBERY_2022,ROBBERY_2023,ROBBERY_2024,ROBBERY_2025,ROBBERY_RATE_2014,ROBBERY_RATE_2015,ROBBERY_RATE_2016,ROBBERY_RATE_2017,ROBBERY_RATE_2018,ROBBERY_RATE_2019,ROBBERY_RATE_2020,ROBBERY_RATE_2021,ROBBERY_RATE_2022,ROBBERY_RATE_2023,ROBBERY_RATE_2024,ROBBERY_RATE_2025,SHOOTING_2014,SHOOTING_2015,SHOOTING_2016,SHOOTING_2017,SHOOTING_2018,SHOOTING_2019,SHOOTING_2020,SHOOTING_2021,SHOOTING_2022,SHOOTING_2023,SHOOTING_2024,SHOOTING_2025,SHOOTING_RATE_2014,SHOOTING_RATE_2015,SHOOTING_RATE_2016,SHOOTING_RATE_2017,SHOOTING_RATE_2018,SHOOTING_RATE_2019,SHOOTING_RATE_2020,SHOOTING_RATE_2021,SHOOTING_RATE_2022,SHOOTING_RATE_2023,SHOOTING_RATE_2024,SHOOTING_RATE_2025,THEFTFROMMV_2014,THEFTFROMMV_2015,THEFTFROMMV_2016,THEFTFROMMV_2017,THEFTFROMMV_2018,THEFTFROMMV_2019,THEFTFROMMV_2020,THEFTFROMMV_2021,THEFTFROMMV_2022,THEFTFROMMV_2023,THEFTFROMMV_2024,THEFTFROMMV_2025,THEFTFROMMV_RATE_2014,THEFTFROMMV_RATE_2015,THEFTFROMMV_RATE_2016,THEFTFROMMV_RATE_2017,THEFTFROMMV_RATE_2018,THEFTFROMMV_RATE_2019,THEFTFROMMV_RATE_2020,THEFTFROMMV_RATE_2021,THEFTFROMMV_RATE_2022,THEFTFROMMV_RATE_2023,THEFTFROMMV_RATE_2024,THEFTFROMMV_RATE_2025,THEFTOVER_2014,THEFTOVER_2015,THEFTOVER_2016,THEFTOVER_2017,THEFTOVER_2018,THEFTOVER_2019,THEFTOVER_2020,THEFTOVER_2021,THEFTOVER_2022,THEFTOVER_2023,THEFTOVER_2024,THEFTOVER_2025,THEFTOVER_RATE_2014,THEFTOVER_RATE_2015,THEFTOVER_RATE_2016,THEFTOVER_RATE_2017,THEFTOVER_RATE_2018,THEFTOVER_RATE_2019,THEFTOVER_RATE_2020,THEFTOVER_RATE_2021,THEFTOVER_RATE_2022,THEFTOVER_RATE_2023,THEFTOVER_RATE_2024,THEFTOVER_RATE_2025,POPULATION_2025,Shape__Area,Shape__Length
37,Birchcliffe-Cliffside,122,140,133,198,161,199,209,146,142,159,210,160,168,628.05615234375,597.162353515625,863.497619628906,691.135437011719,839.697875976563,870.615661621094,605.231506347656,588.52783203125,647.051635742188,828.794677734375,617.164916992188,648.548461914063,13,22,15,13,23,26,20,32,48,73,73,69,58.3194999694824,98.7787322998047,65.4164886474609,55.805965423584,97.0505065917969,108.306259155273,82.9084243774414,132.625991821289,195.336349487305,288.104827880859,281.581481933594,266.368133544922,10,18,22,17,8,5,14,11,6,6,8,4,44.861156463623,80.818962097168,95.9441757202148,72.9770355224609,33.7566986083984,20.8281269073486,58.0359001159668,45.5901870727539,24.4170436859131,23.6798477172852,30.8582458496094,15.4416303634644,73,81,76,83,70,57,46,42,31,34,48,47,327.486419677734,363.685333251953,331.443511962891,356.299621582031,295.371124267578,237.440643310547,190.689376831055,174.071624755859,126.154724121094,134.185806274414,185.149475097656,181.439163208008,0,1,0,1,1,0,0,0,1,0,0,0,0,4.48994255065918,0,4.29276657104492,4.2195873260498,0,0,0,4.06950712203979,0,0,0,16,26,25,15,22,32,21,14,15,14,7,19,71.7778472900391,116.738502502441,109.027473449707,64.3915023803711,92.8309173583984,133.300003051758,87.0538482666016,58.0238723754883,61.0426063537598,55.2529792785645,27.0009651184082,73.3477478027344,0,0,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,8.33125019073486,0,4.14456224441528,0,3.94664144515991,3.85728073120117,0,83,108,93,58,98,93,88,68,69,54,34,72,372.347595214844,484.913787841797,405.582214355469,248.98046875,413.519561767578,387.403137207031,364.797088623047,281.830230712891,280.795989990234,213.118637084961,131.147537231445,277.949340820313,3,5,6,5,8,7,5,4,6,7,6,9,13.4583463668823,22.4497127532959,26.1665935516357,21.4638328552246,33.7566986083984,29.1593761444092,20.7271060943604,16.5782489776611,24.4170436859131,27.6264896392822,23.143684387207,34.7436676025391,25904,6009067.38696289,14693.4888602702
38,Downtown Yonge East,168,342,392,346,473,498,614,506,594,539,654,622,593,2587.18505859375,2981.21533203125,2476.02685546875,3094.33471679688,3008.69995117188,3468.33862304688,2702.99145507813,3019.36669921875,2578.20727539063,2899.32177734375,2581.34130859375,2360.7626953125,26,19,20,15,52,43,26,45,44,45,45,19,196.686584472656,144.497680664063,143.122940063477,98.1290054321289,314.161437988281,242.896682739258,138.888885498047,228.739898681641,210.465896606445,199.494613647461,186.752990722656,75.6399536132813,158,128,115,161,188,169,102,164,175,205,144,109,1195.24926757813,973.458068847656,822.956909179688,1053.25134277344,1135.814453125,954.640441894531,544.871765136719,833.629821777344,837.080261230469,908.808776855469,597.609558105469,433.934478759766,88,82,85,112,123,181,144,161,110,120,87,69,665.708435058594,623.62158203125,608.272521972656,732.696594238281,743.112609863281,1022.42559814453,769.230773925781,818.380493164063,526.164733886719,531.985656738281,361.055786132813,274.692474365234,1,2,1,0,2,0,1,0,0,2,2,0,7.56486892700195,15.2102823257446,7.15614700317383,0,12.0831317901611,0,5.34188032150269,0,0,8.86642742156982,8.30013275146484,0,89,99,100,120,143,112,84,96,76,90,105,36,673.273315429688,752.908996582031,715.614685058594,785.032043457031,863.943908691406,632.6611328125,448.717956542969,487.978454589844,363.532012939453,398.989227294922,435.756958007813,143.317810058594,0,4,3,0,2,5,4,7,3,5,2,3,0,30.4205646514893,21.4684410095215,0,12.0831317901611,28.2438011169434,21.3675212860107,35.5817604064941,14.349946975708,22.1660690307617,8.30013275146484,11.9431505203247,192,158,141,225,182,252,190,114,81,113,170,98,1452.45483398438,1201.6123046875,1009.01672363281,1471.93505859375,1099.56506347656,1423.48754882813,1014.95727539063,579.474426269531,387.448577880859,500.953155517578,705.511291503906,390.142913818359,23,11,30,20,20,20,24,26,19,25,38,25,173.991973876953,83.6565551757813,214.684417724609,130.838668823242,120.831321716309,112.975204467773,128.205123901367,132.160827636719,90.8830032348633,110.830337524414,157.702529907227,99.526252746582,25119,808531.202880859,4251.56733939615
39,Church-Wellesley,167,223,209,307,309,363,355,308,403,388,330,366,380,1265.03295898438,1153.03979492188,1627.86999511719,1546.39172363281,1715.82531738281,1595.57727050781,1330.45361328125,1684.92346191406,1529.1845703125,1210.65380859375,1262.98352050781,1264.64318847656,14,11,12,19,30,18,10,34,17,39,23,14,79.4191055297852,60.6863059997559,63.6300964355469,95.085578918457,141.803741455078,80.9025115966797,43.1965446472168,142.152359008789,67.0003509521484,143.077255249023,79.3678207397461,46.5921211242676,88,105,98,128,90,119,109,99,88,102,65,67,499.205810546875,579.278381347656,519.645812988281,640.576538085938,425.411224365234,534.85546875,470.842346191406,413.914215087891,346.825378417969,374.202056884766,224.300354003906,222.976577758789,61,73,62,87,79,128,98,87,73,76,61,44,346.040405273438,402.736389160156,328.755493164063,435.391845703125,373.416534423828,575.306762695313,423.326141357422,363.742797851563,287.707397460938,278.817230224609,210.497253417969,146.432373046875,0,2,3,1,1,1,0,0,0,1,0,1,0,11.0338735580444,15.9075241088867,5.00450420379639,4.72679138183594,4.49458408355713,0,0,0,3.66864776611328,0,3.32800841331482,41,40,51,46,54,51,59,41,42,55,43,28,232.584518432617,220.677474975586,270.427917480469,230.207183837891,255.246734619141,229.223785400391,254.859603881836,171.419021606445,165.530288696289,201.775619506836,148.383316040039,93.1842422485352,0,1,1,0,0,1,1,2,1,1,0,0,0,5.51693677902222,5.30250787734985,0,0,4.49458408355713,4.31965446472168,8.36190319061279,3.94119739532471,3.66864776611328,0,0,99,68,67,56,53,93,66,58,53,78,73,62,561.606506347656,375.151702880859,355.268035888672,280.252227783203,250.519943237305,417.996307373047,285.097198486328,242.495193481445,208.883453369141,286.154510498047,251.906555175781,206.336532592773,10,5,12,10,21,21,19,21,19,26,20,32,56.7279319763184,27.5846843719482,63.6300964355469,50.0450401306152,99.2626190185547,94.3862609863281,82.0734329223633,87.7999801635742,74.8827514648438,95.3848419189453,69.015495300293,106.496269226074,30048,556185.245361328,3151.47804394103
40,St Lawrence-East Bayfront-The Islands,166,179,199,226,218,310,275,268,355,393,439,521,473,793.510070800781,853.271606445313,949.500061035156,843.685913085938,1110.59362792969,920.748657226563,848.423461914063,1070.95446777344,1096.99926757813,1119.78369140625,1229.353515625,1059.68273925781,20,14,8,21,23,21,15,36,42,46,37,11,88.6603393554688,60.0291557312012,33.6106224060059,81.2724914550781,82.3988800048828,70.3117141723633,47.486385345459,108.60383605957,117.23656463623,117.334968566895,87.3053359985352,24.6437854766846,124,98,127,119,151,144,128,131,124,107,81,123,549.694091796875,420.2041015625,533.568603515625,460.544128417969,540.966552734375,482.137481689453,405.217163085938,395.197296142578,346.127014160156,272.931335449219,191.127883911133,275.562316894531,57,49,62,68,78,104,98,150,127,95,105,73,252.681976318359,210.10205078125,260.482299804688,263.168090820313,279.439697265625,348.210388183594,310.244384765625,452.515991210938,354.501037597656,242.322204589844,247.758377075195,163.545120239258,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,3.87011885643005,0,0,0,0,5.58269357681274,0,0,0,35,15,16,20,39,31,45,43,32,41,35,43,155.15559387207,64.3169555664063,67.2212448120117,77.4023742675781,139.719848632813,103.793487548828,142.459167480469,129.721252441406,89.3230972290039,104.581161499023,82.5861282348633,96.3348007202148,4,0,3,4,2,0,3,2,5,3,2,2,17.7320690155029,0,12.603982925415,15.4804754257202,7.16512012481689,0,9.49727725982666,6.03354644775391,13.9567337036133,7.65228033065796,4.71920728683472,4.48068809509277,121,111,86,87,72,122,159,76,100,111,60,73,536.395080566406,475.945465087891,361.314178466797,336.700347900391,257.9443359375,408.477569580078,503.355712890625,229.274765014648,279.134674072266,283.134368896484,141.576217651367,163.545120239258,16,18,16,20,17,28,17,22,23,31,35,35,70.9282760620117,77.1803436279297,67.2212448120117,77.4023742675781,60.9035224914551,93.7489547729492,53.8179054260254,66.369010925293,64.2009735107422,79.0735626220703,82.5861282348633,78.4120407104492,44636,11314215.3041992,19766.0747742551
41,Harbourfront-CityPlace,165,119,143,141,178,148,184,222,278,265,269,273,312,513.307189941406,572.710144042969,525.472351074219,643.388977050781,518.207275390625,627.1943359375,743.519348144531,920.194641113281,843.787780761719,811.805908203125,788.607055664063,883.327209472656,20,24,13,25,11,17,39,31,28,38,30,20,86.2701110839844,96.1191864013672,48.4478073120117,90.3636245727539,38.5154075622559,57.9473037719727,130.618255615234,102.611633300781,89.1549377441406,114.678901672363,86.6601181030273,56.6235389709473,66,73,122,152,127,128,76,91,92,88,76,49,284.691375732422,292.362518310547,454.664031982422,549.410827636719,444.677856445313,436.309112548828,254.538146972656,301.214782714844,292.937652587891,265.572174072266,219.538970947266,138.727676391602,27,64,38,63,81,82,75,54,58,77,32,50,116.464653015137,256.317840576172,141.616668701172,227.716323852539,283.613433837891,279.510528564453,251.18896484375,178.74284362793,184.678085327148,232.375671386719,92.4374618530273,141.558853149414,0,0,0,0,0,0,2,0,0,1,2,1,0,0,0,0,0,0,6.69837236404419,0,0,3.0178656578064,5.77734136581421,2.83117699623108,11,7,13,16,26,17,15,23,31,22,18,17,47.4485626220703,28.0347633361816,48.4478073120117,57.8327178955078,91.0364151000977,57.9473037719727,50.23779296875,76.1312103271484,98.7072525024414,66.3930435180664,51.9960708618164,48.1300086975098,1,1,0,1,6,2,4,6,3,3,1,3,4.31350564956665,4.00496625900269,0,3.61454486846924,21.0084037780762,6.81732988357544,13.3967447280884,19.860315322876,9.55231475830078,9.05359745025635,2.8886706829071,8.49353122711182,87,91,69,71,62,40,50,51,60,91,57,43,375.274993896484,364.451934814453,257.146057128906,256.632690429688,217.086837768555,136.346588134766,167.45930480957,168.812683105469,191.046295166016,274.625793457031,164.654220581055,121.740608215332,12,15,23,12,18,20,14,9,15,15,16,20,51.7620658874512,60.0744934082031,85.7153472900391,43.3745384216309,63.0252113342285,68.1732940673828,46.8886070251465,29.7904739379883,47.7615737915039,45.2679862976074,46.2187309265137,56.6235389709473,35321,1138334.07421875,7255.36128654652
42,Wellington Place,164,416,470,524,495,449,388,281,341,443,418,467,442,2811.57080078125,2829.10961914063,2821.2998046875,2414.39868164063,1994.75769042969,1587.62634277344,1073.66650390625,1228.12072753906,1470.14904785156,1263.90905761719,1303.48620605469,1169.62158203125,22,20,24,30,41,34,39,47,72,74,63,37,148.688827514648,120.387649536133,129.219833374023,146.327194213867,182.149368286133,139.12190246582,149.014221191406,169.271774291992,238.940689086914,223.75422668457,175.845031738281,97.9095001220703,103,94,160,162,184,140,116,101,111,81,97,92,696.134094238281,565.821960449219,861.465576171875,790.166809082031,817.450805664063,572.854858398438,443.221771240234,363.754241943359,368.366912841797,244.920181274414,270.745513916016,243.450653076172,77,76,113,129,176,155,179,148,127,142,114,111,520.410949707031,457.473052978516,608.410034179688,629.206909179688,781.909484863281,634.232177734375,683.93701171875,533.026000976563,421.46484375,429.366241455078,318.195770263672,293.728485107422,1,1,0,1,1,1,1,1,2,1,1,2,6.75858354568481,6.01938247680664,0,4.87757301330566,4.44266748428345,4.09182024002075,3.82087731361389,3.60152697563171,6.63724136352539,3.02370595932007,2.79119110107422,5.29240560531616,27,30,43,41,47,50,24,19,55,46,36,31,182.481750488281,180.581466674805,231.51887512207,199.980484008789,208.805374145508,204.591018676758,91.701057434082,68.4290161132813,182.524139404297,139.090469360352,100.482879638672,82.0322799682617,2,6,3,11,9,6,3,6,8,7,5,4,13.5171670913696,36.1162948608398,16.1524791717529,53.6533012390137,39.9840049743652,24.5509223937988,11.4626321792603,21.6091613769531,26.5489654541016,21.1659412384033,13.9559545516968,10.5848112106323,185,121,67,104,97,107,139,105,77,92,93,80,1250.337890625,728.345275878906,360.738708496094,507.267578125,430.938720703125,437.824798583984,531.101928710938,378.160339355469,255.533798217773,278.180938720703,259.580749511719,211.696212768555,19,15,19,20,25,27,24,20,22,31,31,33,128.4130859375,90.2907333374023,102.299034118652,97.5514602661133,111.066680908203,110.479148864746,91.701057434082,72.0305404663086,73.0096588134766,93.7348785400391,86.5269241333008,87.3246917724609,37790,979639.036376953,4214.2619768025
43,Fort York-Liberty Village,163,97,112,99,99,130,125,93,153,164,168,187,188,646.192810058594,671.301818847656,537.576049804688,517.592956542969,653.364807128906,607.356323242188,440.653869628906,711.263977050781,729.083312988281,703.723876953125,745.643737792969,730.863403320313,16,21,22,19,18,23,20,13,19,25,23,12,106.588500976563,125.869094848633,119.461334228516,99.3360137939453,90.4658966064453,111.753555297852,94.764274597168,60.434196472168,84.4669723510742,104.720817565918,91.7101974487305,46.6508560180664,40,71,60,76,102,120,66,54,32,43,87,39,266.471252441406,425.557434082031,325.803649902344,397.344055175781,512.640075683594,583.062072753906,312.722106933594,251.03434753418,142.260162353516,180.11979675293,346.903778076172,151.615280151367,33,37,28,58,43,83,46,41,28,33,29,32,219.838790893555,221.76936340332,152.041702270508,303.236267089844,216.112976074219,403.284576416016,217.957824707031,190.600158691406,124.477638244629,138.231475830078,115.63459777832,124.402282714844,0,2,0,0,1,0,0,0,0,2,0,1,0,11.9875326156616,0,0,5.02588319778442,0,0,0,0,8.37766551971436,0,3.88757133483887,9,7,4,2,5,8,14,7,10,7,12,6,59.9560317993164,41.9563636779785,21.7202434539795,10.4564228057861,25.1294174194336,38.8708038330078,66.3349914550781,32.5414886474609,44.456298828125,29.3218288421631,47.8487968444824,23.3254280090332,1,2,1,0,3,1,1,2,4,1,5,0,6.66178131103516,11.9875326156616,5.43006086349487,0,15.0776500701904,4.85885047912598,4.73821353912354,9.29756832122803,17.7825202941895,4.18883275985718,19.9369983673096,0,41,57,24,39,32,47,44,38,30,37,28,34,273.133026123047,341.644683837891,130.32145690918,203.900253295898,160.828262329102,228.365966796875,208.481399536133,176.65380859375,133.368896484375,154.986801147461,111.647193908691,132.177429199219,11,14,11,8,8,12,4,17,15,11,21,20,73.2795944213867,83.912727355957,59.7306671142578,41.8256912231445,40.2070655822754,58.3062057495117,18.9528541564941,79.0293350219727,66.6844482421875,46.0771598815918,83.7353973388672,77.7514266967773,25723,2339540.37084961,9924.96381932796
44,West Queen West,162,124,130,117,123,101,107,96,106,106,107,116,91,937.192932128906,968.55908203125,814.026306152344,850.681213378906,693.395568847656,731.723999023438,659.431213378906,735.294128417969,723.253295898438,707.484802246094,750.032348632813,588.730041503906,12,12,5,7,7,14,13,13,23,14,14,13,90.6960906982422,89.4054565429688,34.7874488830566,48.4127540588379,48.0571174621582,95.7395858764648,89.297981262207,90.1775817871094,156.932312011719,92.5680999755859,90.5211410522461,84.1042861938477,50,45,63,66,66,88,81,37,27,42,43,19,377.900390625,335.270446777344,438.321838378906,456.463104248047,453.109985351563,601.791687011719,556.395080566406,256.659271240234,184.224884033203,277.704315185547,278.029235839844,122.921653747559,34,29,42,31,28,65,63,51,36,43,40,40,256.972259521484,216.063186645508,292.214569091797,214.399337768555,192.228469848633,444.505218505859,432.751739501953,353.773590087891,245.633193969727,284.316314697266,258.6318359375,258.782440185547,0,0,1,0,1,0,1,0,0,0,0,0,0,0,6.95748996734619,0,6.86530256271362,0,6.86907529830933,0,0,0,0,0,18,10,7,7,8,10,8,11,6,8,8,8,136.044143676758,74.5045471191406,48.7024269104004,48.4127540588379,54.922420501709,68.3854217529297,54.9526023864746,76.3041076660156,40.9388656616211,52.8960609436035,51.7263679504395,51.7564849853516,0,1,3,1,1,0,0,1,0,0,0,1,0,7.45045471191406,20.8724689483643,6.91610765457153,6.86530256271362,0,0,6.93673706054688,0,0,0,6.46956062316895,88,48,47,83,57,53,39,52,37,31,24,28,665.104675292969,357.621826171875,327.002014160156,574.036926269531,391.322265625,362.442718505859,267.893951416016,360.710327148438,252.456329345703,204.972229003906,155.179107666016,181.147705078125,3,4,6,4,7,6,7,6,6,5,7,3,22.6740226745605,29.8018188476563,41.7449378967285,27.6644306182861,48.0571174621582,41.0312538146973,48.0835266113281,41.6204223632813,40.9388656616211,33.0600357055664,45.260570526123,19.4086818695068,15457,901748.542480469,4286.66847969292
45,Humber Bay Shores,161,58,77,76,81,75,94,82,102,121,152,131,120,395.0146484375,484.2158203125,454.355224609375,450.200103759766,388.178680419922,456.621002197266,378.228790283203,450.351013183594,514.718383789063,613.496948242188,506.789428710938,455.528991699219,6,12,10,33,15,24,29,30,60,82,32,49,40.863582611084,75.4622039794922,59.7835845947266,183.414855957031,77.6357345581055,116.584083557129,133.76383972168,132.456176757813,255.23225402832,330.965454101563,123.795890808105,186.007675170898,9,13,31,38,62,74,38,23,25,16,16,24,61.2953758239746,81.7507247924805,185.3291015625,211.204986572266,320.894378662109,359.467590332031,175.276748657227,101.549736022949,106.346778869629,64.5786209106445,61.8979454040527,91.1057968139648,13,20,16,15,14,34,19,29,27,37,33,25,88.5377655029297,125.77033996582,95.6537322998047,83.3703842163086,72.4600143432617,165.160781860352,87.6383743286133,128.040969848633,114.854515075684,149.338073730469,127.664512634277,94.9018707275391,0,1,0,0,0,1,0,0,2,0,0,0,0,6.28851699829102,0,0,0,4.85767030715942,0,0,8.50774192810059,0,0,0,1,6,3,6,15,10,8,6,8,9,8,4,6.81059741973877,37.7311019897461,17.9350757598877,33.3481559753418,77.6357345581055,48.5767021179199,36.9003677368164,26.4912357330322,34.0309677124023,36.3254776000977,30.9489727020264,15.1842994689941,0,2,0,0,0,2,1,1,3,1,1,1,0,12.577033996582,0,0,0,9.71534061431885,4.61254596710205,4.41520595550537,12.7616128921509,4.03616380691528,3.8686215877533,3.79607486724854,47,21,35,34,14,19,28,20,66,30,47,19,320.098083496094,132.058853149414,209.242538452148,188.972869873047,72.4600143432617,92.2957382202148,129.151290893555,88.3041229248047,280.755493164063,121.084922790527,181.825210571289,72.1254196166992,6,6,10,8,7,5,11,6,12,10,11,11,40.863582611084,37.7311019897461,59.7835845947266,44.4642066955566,36.2300071716309,24.28835105896,50.7380065917969,26.4912357330322,51.0464515686035,40.3616409301758,42.5548362731934,41.7568244934082,26343,1578118.50683594,16145.7930864194
46,Mimico-Queensway,160,150,128,165,262,412,230,205,268,343,525,872,1014,883.288208007813,745.616577148438,892.470764160156,1380.98254394531,2115.53271484375,1154.03918457031,1017.21826171875,1323.58752441406,1618.61169433594,2338.32177734375,3704.96264648438,4209.21533203125,29,28,31,25,16,40,34,35,66,71,79,54,170.76904296875,163.103622436523,167.676330566406,131.773132324219,82.156608581543,200.702453613281,168.709365844727,172.856582641602,311.452972412109,316.230194091797,335.656005859375,224.159408569336,18,19,6,22,41,23,9,18,23,5,10,10,105.994583129883,110.677459716797,32.453483581543,115.96036529541,210.526321411133,115.403915405273,44.6583633422852,88.8976669311523,108.536643981934,22.2697315216064,42.4881019592285,41.5110015869141,42,46,33,43,36,46,34,25,47,34,51,32,247.320693969727,267.955963134766,178.494155883789,226.649795532227,184.85237121582,230.807830810547,168.709365844727,123.46898651123,221.792266845703,151.434173583984,216.689331054688,132.835205078125,0,0,1,1,0,0,1,0,0,1,2,1,0,0,5.40891408920288,5.27092552185059,0,0,4.96204042434692,0,0,4.45394611358643,8.49762058258057,4.15110015869141,9,18,9,17,14,7,3,8,16,8,10,10,52.9972915649414,104.852333068848,48.6802253723145,89.6057357788086,71.8870315551758,35.1229286193848,14.8861207962036,39.5100746154785,75.5037536621094,35.6315689086914,42.4881019592285,41.5110015869141,0,1,1,1,1,1,1,2,1,2,0,0,0,5.82512950897217,5.40891408920288,5.27092552185059,5.13478803634644,5.01756143569946,4.96204042434692,9.87751865386963,4.71898460388184,8.90789222717285,0,0,69,48,37,43,42,74,47,35,64,54,48,24,406.312561035156,279.606231689453,200.129806518555,226.649795532227,215.661102294922,371.299560546875,233.215896606445,172.856582641602,302.015014648438,240.513092041016,203.942901611328,99.6264038085938,4,9,7,5,5,14,8,7,11,24,17,16,23.5543518066406,52.4261665344238,37.8623962402344,26.3546276092529,25.6739406585693,70.2458572387695,39.6963233947754,34.5713157653809,51.9088287353516,106.894706726074,72.2297744750977,66.4176025390625,24090,5480612.03466797,13398.7011030995
47,Etobicoke City Centre,159,145,157,131,135,154,137,142,156,206,308,240,261,745.309692382813,774.238098144531,606.060607910156,601.523864746094,660.15087890625,567.875671386719,574.340698242188,618.532165527344,775.982238769531,1086.64978027344,801.068115234375,844.441589355469,67,82,103,72,118,119,103,120,188,296,270,186,344.384490966797,404.379119873047,476.520935058594,320.812713623047,505.829895019531,493.264251708984,416.599243164063,475.793975830078,708.177978515625,1044.31274414063,901.201599121094,601.785949707031,6,12,19,13,11,16,17,23,14,17,12,14,30.8404006958008,59.177433013916,87.9019165039063,57.9245185852051,47.153636932373,66.3212432861328,68.7591018676758,91.19384765625,52.7366561889648,59.9774208068848,40.0534057617188,45.2957153320313,57,85,65,56,71,74,56,76,86,69,93,65,292.983795166016,419.173492431641,300.717102050781,249.521011352539,304.355285644531,306.735748291016,226.500564575195,301.336181640625,323.953735351563,243.437759399414,310.413879394531,210.301544189453,2,0,0,0,2,1,0,1,1,3,0,0,10.2801332473755,0,0,0,8.57338809967041,4.1450777053833,0,3.9649498462677,3.7669038772583,10.5842504501343,0,0,20,23,21,45,20,21,19,11,43,36,32,58,102.801338195801,113.423416137695,97.1547546386719,200.507949829102,85.7338790893555,87.046630859375,76.8484039306641,43.6144485473633,161.976867675781,127.011009216309,106.80908203125,187.653686523438,2,1,3,3,1,2,3,3,2,4,2,5,10.2801332473755,4.93145275115967,13.8792505264282,13.3671970367432,4.28669404983521,8.2901554107666,12.1339588165283,11.8948497772217,7.5338077545166,14.1123342514038,6.67556762695313,16.1770420074463,135,123,97,92,107,118,148,127,188,188,98,86,693.908996582031,606.568725585938,448.762420654297,409.927368164063,458.67626953125,489.119171142578,598.608642578125,503.548645019531,708.177978515625,663.279724121094,327.102813720703,278.2451171875,33,38,31,27,50,27,23,32,44,59,58,62,169.622207641602,187.395202636719,143.418914794922,120.30477142334,214.334701538086,111.917098999023,93.0270156860352,126.878395080566,165.743774414063,208.156936645508,193.591461181641,200.595321655273,30908,10134665.5534668,17420.268633481
